text,text_processed
"Ojo a los que vais con niños pequeños por la proximidad de una Iglesia, se levantarán con cada sonido de las campanas! Volveríamos pero sin desayuno incluido, ya que por la diferencia…",ojo vais ninos pequenos proximidad iglesia levantaran cada sonido campanas volveriamos sin desayuno incluido diferencia
Mi estancia,estancia
"Buena ubicación , comodidad y trato agradable en La estancias",buena ubicacion comodidad trato agradable estancias
Las instalaciones limpias y ordenadas,instalaciones limpias ordenadas
Necesitaría mejorar más el gimnasio,necesitaria mejorar gimnasio
El gimnasio tiene muy pocas máquinas,gimnasio pocas maquinas
", necesitaría un poco más de atención",necesitaria atencion
Renovación de los baños,renovacion banos
Con encanto ,encanto
Hotel tranquilo  y exclusivo,tranquilo exclusivo
Desde que entras huele a exclusivo y sientes estar en un sitio especial,entras huele exclusivo sientes sitio especial
La habitación 228 es amplía y el baño correcto,habitacion 228 amplia bano correcto
El colchón y almodahas cómodos,colchon almodahas comodos
Wifi rápido,wifi rapido
El personal super cordial,personal super cordial
"El único pero, sería el tamaño del lcd y que tiene bañera",unico tamano lcd banera
Muy bueno,bueno
"Me gusta este hotel mucho y he disfrutado de la estancia con tranquilidad absoluta en mi visita a granada como siempre que lo vengo utilizando como cliente, los conserejes son amables y el sitio al lado de las angustias fantástico, suenan las campañas muy bien",gusta disfrutado estancia tranquilidad absoluta visita granada siempre vengo utilizando cliente conserejes amables sitio lado angustias fantastico suenan campanas bien
Buen hotel,buen
"Hemos estado muy agusto, el desayuno bueno",agusto desayuno bueno
"Respecto a la cama, mejoraría el colchón",respecto cama mejoraria colchon
La limpieza del hotel ha sido buena,limpieza sido buena
"No hemos podido probar el spa porque de domingo a jueves estaba cerrado, información que no sabíamos con anterioridad",no podido probar spa domingo jueves cerrado informacion no sabiamos anterioridad
Salida a Granada,salida granada
Estuvimos el 5 y el 6 de diciembre durante el dia para visitar la ciudad,5 6 diciembre dia visitar ciudad
"El hotel magnifico, espacioso, limpio, con mucha luz y con mucho diseño",magnifico espacioso limpio mucha luz diseno
Además tiene un buen spa que está a disposición de los clientes,ademas buen spa disposicion clientes
"La atención del personal muy buena y además tuvieron a bien obsequiarnos como clientes vip con una botella de aceite de oliva, agua mineral, una bolsa multiusos y también en el bar un aperitivo",atencion personal buena ademas bien obsequiarnos clientes vip botella aceite oliva agua mineral bolsa multiusos bar aperitivo
"No está justo en el centro, pero caminando se llega enseguida",no justo centro caminando llega enseguida
EXCELENTE,excelente
"Hotel prácticamente nuevo, muy limpio, excelente personal",practicamente nuevo limpio excelente personal
"Muy buena ubicación, está a 10 minutos paseando del centro, además dispone de un spa que está muy bien",buena ubicacion 10 minutos paseando centro ademas dispone spa bien
Sin duda la próxima vez que vaya a Granada repetiré,sin duda proxima vez vaya granada repetire
"Fin de semana para conocer Granada y la Alhambra con mi compañera, parking con recarga de vehículos eléctricos",fin semana conocer granada alhambra companera parking recarga vehiculos electricos
"Todo correcto y limpio, personal amable, El desayuno nada destacable salvo que el cocinero que te hace los huevos revueltos o fritos, hable varios idiomas",correcto limpio personal amable desayuno nada destacable salvo cocinero hace huevos revueltos fritos hable varios idiomas
La variedad de fruta era escasa,variedad fruta escasa
"Lo demás normal, Destacable la máquina de exprimir zumo de naranja tú mismo",demas normal destacable maquina exprimir zumo naranja mismo
"El acceso al hotel es incómodo por los adoquines, aunque esto es algo típico de Granada",acceso incomodo adoquines aunque tipico granada
El SPA no lo usé pero dicen que está muy bien,spa no use dicen bien
"Buen hotel para los que busquen aparcamiento con recarga de vehículos eléctricos, por eso lo elegí yo",buen busquen aparcamiento recarga vehiculos electricos elegi
No hay muchos con esta condición ya que tengo un Tesla,no condicion tesla
Otro año más,ano
"Como cada mes de Febrero vamos a Granada a pasar un fin de semana y como cada año hemos vuelto a elegir este hotel, por su ubicación (muy cerca del centro), por el trato del personal, y por sus desayunos que son de 10",cada mes febrero vamos granada pasar fin semana cada ano vuelto elegir ubicacion cerca centro trato personal desayunos 10
El año que viene volvemos,ano viene volvemos
Muy bien ubicado,bien ubicado
Al lado Del Río Genil y en frente del palacio de congresos,lado rio genil frente palacio congresos
Se tarda 10 minutos en llegar al centro andando y está rodeado de bares con menús y perfectos para desayunar,tarda 10 minutos llegar centro andando rodeado bares menus perfectos desayunar
"Es algo antiguo, pero está limpio y todo aceptable",antiguo limpio aceptable
HOTEL MUY RECOMENDABLE,recomendable
"Hotel bastante bueno, habitación limpia, baño igualmente, detalle de cafe y agua en la habitación, situación buena, andando para arriba 15 minutos llegas a el casco antiguo, desayuno muy aceptable, zumos naturales, cocinera muy atenta,en resumen el hotel recomendable",bastante bueno habitacion limpia bano igualmente detalle cafe agua habitacion situacion buena andando arriba 15 minutos llegas casco antiguo desayuno aceptable zumos naturales cocinera atentaen resumen recomendable
"La decepción ha sido las tapas en Granada, las pagas pero bien pagadas, una  caña pequeña 2,40 Eur y sin tapa, y de cuatro sitios en tres me pusieron alitas de pollo, por supuesto que las deje, lo normal que te cobraran por un agua, caña y zumo 8,60 EUR",decepcion sido tapas granada pagas bien pagadas cana pequena 240 eur sin tapa cuatro sitios tres pusieron alitas pollo supuesto deje normal cobraran agua cana zumo 860 eur
Todo correcto ,correcto
"Buena ubicación, muy buena atención, y el spa todo correcto, lo único que el parque no se porque motivo estaba encharcado, y no te podías bajar del coche cómodamente, la atención muy buena y las vistas igual",buena ubicacion buena atencion spa correcto unico parque no motivo encharcado no podias bajar coche comodamente atencion buena vistas igual
Solo en el spa,solo spa
Bueno aunque se satura de gente tanto de fuera como de dentro del hotel ya que ellos no tienen que coger cita y entran y salen cuando quieren,bueno aunque satura gente dentro no coger cita entran salen quieren
Por lo demás me gusta mucho pero deberían controlar un poco la capacidad,demas gusta deberian controlar capacidad
Perfecto hotel céntrico,perfecto centrico
Hemos estado dos noches (6-7Diciembre)del puente,dos noches 6 7diciembredel puente
Lo reservé con 2 meses antelaciòn,reserve 2 meses antelacion
Está super céntrico junto a las calles de tapas y está muy bien,super centrico junto calles tapas bien
Amabilidad por todo y desayuno muy completo,amabilidad desayuno completo
"La señora del desayuno es genial,simpática,amabilisima",senora desayuno genialsimpaticaamabilisima
Habitación 304 bien,habitacion 304 bien
Solo fallaba mando tele,solo fallaba mando tele
Muy tranquila parte trasera,tranquila parte trasera
Cuidado con la excursión,cuidado excursion
"Lo mejor con diferencia, la ubicación pero cuidado con la excursión que dicen incluir gratuita, es un freetour que, aunque es muy recomendable, por cierto, pero se paga al final",mejor diferencia ubicacion cuidado excursion dicen incluir gratuita freetour aunque recomendable cierto paga final
"Por lo demás, algo anticuado pero con un personal muy amable y dispuesto",demas anticuado personal amable dispuesto
La foto es la vista de la Alhambra desde la habitación al amanecer,foto vista alhambra habitacion amanecer
Buen alojamiento para conocer Granada,buen alojamiento conocer granada
"Hotel con una ubicación perfecta para conocer la ciudad, al lado de la catedral y de la parada de bus para llegar a la Alhambra",ubicacion perfecta conocer ciudad lado catedral parada bus llegar alhambra
"Está en una calle con muchos bares, tiendas y restaurantes, pero luego no tuvimos ningún ruido por la noche",calle bares tiendas restaurantes luego no ningun ruido noche
"Habitaciones limpias, con todo lo necesario",habitaciones limpias necesario
El parking cerquita en un mercado donde hay opción de degustar los productos locales,parking cerquita mercado opcion degustar productos locales
El desayuno completo y de calidad,desayuno completo calidad
Personal atento y amable,personal atento amable
Totalmente recomendable,totalmente recomendable
Buena ubicación y relacion calidad-precio,buena ubicacion relacion calidad precio
"Hotel de 3 estrellas, confortable con un desayuno buffet bastante completo y con productos ricos, buen cafe",3 estrellas confortable desayuno buffet bastante completo productos ricos buen cafe
Trato amable del personal,trato amable personal
La cama muy cómoda,cama comoda
"Ubicacion excelente en el centro de la ciudad, zona de tapeo y muy cerca de catedral",ubicacion excelente centro ciudad zona tapeo cerca catedral
"calidad,precio y ubicación perfecta",calidadprecio ubicacion perfecta
la verdad que estuvimos muy bien,verdad bien
el personal muy amable y atento,personal amable atento
"la habitación muy adecuada,limpia y ordenada cada día",habitacion adecuadalimpia ordenada cada dia
estuvimos en habitación interior y no escuchamos ningún ruido de la calle,habitacion interior no escuchamos ningun ruido calle
la ubicación excelente,ubicacion excelente
"en dos minutos estas en el centro,en las pardas de buses y en las zonas de ocio",dos minutos centroen pardas buses zonas ocio
volveríamos a ir,volveriamos ir
Hotel Inglaterra,inglaterra
"Un hotel en la ciudad de Granada muy recomendable, buena relación de calidad y precio",ciudad granada recomendable buena relacion calidad precio
"con una excelente ubicación, atención del personal y un muy buen desayuno",excelente ubicacion atencion personal buen desayuno
Muy cerca de La Alhambra,cerca alhambra
Para tener en cuenta!!,tener cuenta
Muy bueno,bueno
Fuimos solo por una noche,solo noche
La atención del personal fue muy buena,atencion personal buena
Las habitaciones son muy cómodas y amplias,habitaciones comodas amplias
La cama es cómoda pero las almohadas son algo incomodas,cama comoda almohadas incomodas
"Lo mejor es el baño, hecho a nuevo y muy amplio",mejor bano hecho nuevo amplio
"La ubicación es perfecta, cerca de todo y con bares de tapeo solo al salir del hotel",ubicacion perfecta cerca bares tapeo solo salir
Buen hotel,buen
"Muy cómodo y tranquilo, buen servicio y bonita decoración; hemos estado mi mujer y yo, cuatro días; el único “pero”, es que a pesar de estar en la tercera planta y de estar muy bien insonorizado, los bares de tapas y fiesta que están justo abajo te hacían difícil poder dormir de un tirón y si se le suma a eso que a las 7:30 las camareras ya están limpiando, tenías que hacer encaje de bolillos para descansar bien, a no ser que seas de sueño fácil",comodo tranquilo buen servicio bonita decoracion mujer cuatro dias unico pesar tercera planta bien insonorizado bares tapas fiesta justo abajo hacian dificil poder dormir tiron suma 730 camareras limpiando hacer encaje bolillos descansar bien no ser sueno facil
Pero bien en general,bien general
Lo mejor: el personal,mejor personal
Hotel antiguo (y en las instalaciones se nota) pero muy bien ubicado a unos pasos de la Gran Vía y Reyes Católicos,antiguo instalaciones nota bien ubicado pasos gran via reyes catolicos
"Lo mejor, sin duda el personal tremendamente atento en el que destacaría la señora de la sala de desayunos ¡un encanto!",mejor sin duda personal tremendamente atento destacaria senora sala desayunos encanto
Recomendable ,recomendable
"Hotel antiguo, muy bien ubicado, personal muy amable y servicial, muy limpio, desayuno correcto",antiguo bien ubicado personal amable servicial limpio desayuno correcto
"Buena calidad precio, volvería sin duda",buena calidad precio volveria sin duda
"Difícil acceso en coche, tienen acuerdo con parking cercano, a menor coste",dificil acceso coche acuerdo parking cercano menor coste
Paseo por granada,paseo granada
Excelente lugar en Granada,excelente lugar granada
Hotel super recomendable,super recomendable
Muy buena ubicación en la ciudad,buena ubicacion ciudad
Alrededor hay numerosos barcitos y comercios típicos de la ciudad para visitar y pasar el tiempo,alrededor numerosos barcitos comercios tipicos ciudad visitar pasar tiempo
"Dejo 4/5 estrellas, porque creo que podría ofrecer unos servicios más",dejo 4 5 estrellas creo podria ofrecer servicios
Dias en pareja,dias pareja
"Viajamos agranada unos diaspara conocer la ciudad y ver todo su encanto,decidimos alojarnos en este hotel ya que estaba muy centrico y nos pillaba a mano de todo",viajamos agranada diaspara conocer ciudad ver encantodecidimos alojarnos centrico pillaba mano
"Y la verdad que asi fue por que esta en la zona más centrica, a pocos metros de la zona de tapeo, y muy bien ubicado para visitar la alhambra, subir al mirador de san nicolas y ver el barrio del albaicin, desde alli subimos a sacramonte tambien, es un paseillo, pero si no quieres andar tambien tienes paradas de autobus cercanas que te llevan a estos sitios",verdad asi zona centrica pocos metros zona tapeo bien ubicado visitar alhambra subir mirador san nicolas ver barrio albaicin alli subimos sacramonte paseillo no quieres andar paradas autobus cercanas llevan sitios
"El hotel esta bien, es limpio y acogedor, lo unico que al estar en la zona de tapeo si te toca una habitacion con vistas a esa calle escuchas el jaleo, pero como llegas bastante cansado de estar todo el dia por ahi a nosotros no nos importo mucho, para desayunar…",bien limpio acogedor unico zona tapeo toca habitacion vistas calle escuchas jaleo llegas bastante cansado dia ahi no importo desayunar
Buena ubicación ,buena ubicacion
"Destaco del hotel la buena ubicación, desde ahí se puede llegar caminando a los mayores sitios de interés ",destaco buena ubicacion ahi puede llegar caminando mayores sitios interes
"El personal de recepción es muy amable y atento, ello que solicitamos nos colaboraron y siempre con buena predisposición, incluso ayudando en recomendaciones turísticas",personal recepcion amable atento ello solicitamos colaboraron siempre buena predisposicion incluso ayudando recomendaciones turisticas
"El desayuno era abundante y variado: quesos, jamones, panes, frutas, comida caliente ( huevos, bacon",desayuno abundante variado quesos jamones panes frutas comida caliente huevos bacon
") , jugos, yogurt",jugos yogurt
La verdad el desayuno me gustó mucho,verdad desayuno gusto
"La habitación era grande y el baño también, con excelente limpieza",habitacion grande bano excelente limpieza
"Lo que tengo que cuestionar es que en las habitaciones las cortinas no cerraban bien, así que desde afuera seguro se veía hacía el interior de la habitación",cuestionar habitaciones cortinas no cerraban bien asi afuera seguro veia hacia interior habitacion
"Cuando lo noté pedí cambio de habitación, pero en tres habitaciones que me ofrecieron era lo mismo hasta que la última que…",note pedi cambio habitacion tres habitaciones ofrecieron mismo ultima
Céntirco y práctico,centirco practico
"Lo mejor que tiene el HOTEL es su ubicación, a 5 minutos de todos los puntos del centro, es genial",mejor ubicacion 5 minutos puntos centro genial
Además en el barrio de las tapas!!! Su atencion 24h también está genial,ademas barrio tapas atencion 24h genial
"Las habitaciones no son gran cosa, pero es suficiente",habitaciones no gran cosa suficiente
"limpias, con calefaccion/aire y baño amplio",limpias calefaccion aire bano amplio
"Las ventanas estan muy bien aisladas, ya que en la calle hay m ucho barullo y no te enteras de nada",ventanas bien aisladas calle m ucho barullo no enteras nada
La verdad muy bien!,verdad bien
Buen Hostal,buen hostal
"La calle Navas es muy linda, llena de restaurantes y en la parte historica, muy bien ubicada, el hotel era muy confortable, cama comoda, aire, todo muy bien, la gente de recepcion muy amable, pero el verano no es recomendable para visitar Granada, mucho calor, y no se puede disfrutar",calle navas linda llena restaurantes parte historica bien ubicada confortable cama comoda aire bien gente recepcion amable verano no recomendable visitar granada calor no puede disfrutar
"Hotel céntrico, sencillo",centrico sencillo
"Hotel sencillo ubicado en el centro de Granada, en plena calle Navas conocida por su bares de tapas",sencillo ubicado centro granada plena calle navas conocida bares tapas
"Habitaciones pequeñas y antiguas pero bastante cómodas, proporcional a las estrellas del hotel y al lugar en el que está ubicado",habitaciones pequenas antiguas bastante comodas proporcional estrellas lugar ubicado
"Ideal para poder pasear y conocer el centro, a unos 20 minutos de La Alhambra y los miradores del Albayzin",ideal poder pasear conocer centro 20 minutos alhambra miradores albayzin
Céntrico y cerca de todo,centrico cerca
"Hotel muy céntrico, ideal para visitar el casco antiguo, la calle Navas obviamente (cervecerías y tapas), y poder coger el bus hacia la Alhambra (a 5 min)",centrico ideal visitar casco antiguo calle navas obviamente cervecerias tapas poder coger bus hacia alhambra 5 min
Las habitaciones son amplias y muy limpias,habitaciones amplias limpias
Los colchones no son demasiado cómodos (al menos los que nos tocaron a nosotros) y las instalaciones son algo antiguas,colchones no demasiado comodos menos tocaron instalaciones antiguas
"En general, creo que necesita una reforma",general creo necesita reforma
"El desayuno en mi opinión es algo justo, no hay demasiada variedad",desayuno opinion justo no demasiada variedad
"El personal muy amable y atento, eso sí",personal amable atento
Hotel céntrico y agradable,centrico agradable
"Buena ubicación, servicio muy agradable, habitaciones y baños muy limpios limpios",buena ubicacion servicio agradable habitaciones banos limpios limpios
"La habitación era un poco pequeña, pero la experiencia fue buena",habitacion pequena experiencia buena
"La cama era cómoda; el baño, muy funcional; la habitación tenía televisión, un mini frigo,",cama comoda bano funcional habitacion television mini frigo
Me gustó mucho un detalle que tuvieron de obsequiarnos con un par de botellas de agua y caramelos,gusto detalle obsequiarnos par botellas agua caramelos
"Lo recomiendo, muy buen hotel",recomiendo buen
Buena ubicacion,buena ubicacion
"Muy buen hotel confortable y limpio, buen desayuno y muy buena ubicacion en el centro de la ciudad y cerca de todo, destaco la amabilidad y atencion del personal de recepcion",buen confortable limpio buen desayuno buena ubicacion centro ciudad cerca destaco amabilidad atencion personal recepcion
"Muy recomendable, volveria sin duda",recomendable volveria sin duda
Recomendable,recomendable
El hotel cuenta con una excelente ubicación,cuenta excelente ubicacion
El personal fue muy atentos supo indicarnos y darnos instrucciones de qué conocer y por dónde ir o a qué hora ir,personal atentos supo indicarnos darnos instrucciones conocer ir hora ir
La habitación espaciosa y cómoda,habitacion espaciosa comoda
El desayuno excelente!,desayuno excelente
"SITUACION IDEAL, TRANQUILIDAD Y CONFORT",situacion ideal tranquilidad confort
Hotel muy comodo,comodo
Transporte público a 1 minuto y en pleno centro (3 minutos del centro històrico y comercial),transporte publico 1 minuto pleno centro 3 minutos centro historico comercial
Buffet desayuo muy variado,buffet desayuo variado
La habitación con balcon es un detalle que se agradece,habitacion balcon detalle agradece
Personal muy atento y agradable,personal atento agradable
Sin peros,sin peros
Muy recomendable para visitar una Granada magnifica Granado y descansar bien en el empeño,recomendable visitar granada magnifica granado descansar bien empeno
"Hotel confortable, céntrico y con personal atento y amable",confortable centrico personal atento amable
"Hotel confortable y cómodo, a 10 min del centro y con un personal amable",confortable comodo 10 min centro personal amable
"Lo que menos me gustó, que mi habitación daba a un patio interior bastante feo",menos gusto habitacion daba patio interior bastante feo
"Cuentan con una terraza panorámica, ideal para tomar algo",cuentan terraza panoramica ideal tomar
Bien en general con algunos matices,bien general matices
"Buena ubicación, buen desayuno variado, buena limpieza general",buena ubicacion buen desayuno variado buena limpieza general
"La piscina no merece la pena, es muy pequeña y no hay sitio para tumbarse",piscina no merece pena pequena no sitio tumbarse
"Cogimos una habitación con vistas a la Alhambra y fue decepcionante; se veia solo una torre y justo justo, además al ser la última planta había muchos ruidos de arrastrar las sillas del bar de la terraza",cogimos habitacion vistas alhambra decepcionante veia solo torre justo justo ademas ser ultima planta ruidos arrastrar sillas bar terraza
"Si se va en coche hay que tener en cuenta las restricciones de circulación por el centro, hay calles que no se puede circular y otras que si pero que en el hotel no supieron explicar bien",va coche tener cuenta restricciones circulacion centro calles no puede circular no supieron explicar bien
Experiencia excelente,experiencia excelente
hotel céntrico limpio  el personal muy amable las habitaciones cómodas  muy limpias y colchones cómodos y funcionales un hotel para visitar Granada no sepuede tener mejor ubicación y en sus alrededores un sinfín de bares de tapas recomendable 100×100,centrico limpio personal amable habitaciones comodas limpias colchones comodos funcionales visitar granada no sepuede tener mejor ubicacion alrededores sinfin bares tapas recomendable 100100
Ubicación excelente ,ubicacion excelente
No le doy los 5 puntos por el aparcamiento,no doy 5 puntos aparcamiento
"Si vas en coche la zona es muy mala y el parking privado hay que pagarlo a parte, aunque tiene convenio y hay algo de rebaja",vas coche zona mala parking privado pagarlo parte aunque convenio rebaja
El hotel muy limpio y acogedor,limpio acogedor
Personal atento y agradable,personal atento agradable
"La ubicación es muy buena, rodeado de buenos bares de tapas y buen ambiente",ubicacion buena rodeado buenos bares tapas buen ambiente
Buena calidad relación precio,buena calidad relacion precio
Lo más destacable del hotel es la ubicación,destacable ubicacion
Está súper céntrico,super centrico
Muy cerca de todo,cerca
La habitación que nos tocó bastante pequeña y el aire acondicionado no funcionaba muy bien,habitacion toco bastante pequena aire acondicionado no funcionaba bien
Muy limpio,limpio
Lo volveríamos a elegir por su ubicación,volveriamos elegir ubicacion
buena ubicacion,buena ubicacion
muy bien ubicado cerca de todo habitación cómoda el desayuno bien pero deben mejorar el lugar para servirse ya que en algunos momentos se junta mucha gente y es tedioso llegar a los alimentos  el te café etc,bien ubicado cerca habitacion comoda desayuno bien deben mejorar lugar servirse momentos junta mucha gente tedioso llegar alimentos cafe etc
también deberían incluir mas variedad y lo que no me gusto fue que el estacionamiento estuviera tan lejos y encima es demasiado caro 23 euros me pareció muy mucho la atención de recepción muy buena,deberian incluir variedad no gusto estacionamiento tan lejos encima demasiado caro 23 euros parecio atencion recepcion buena
Buena ubicacion,buena ubicacion
"Lo más destacable es la buena ubicación del hotel, que está muy limpio, y que el personal es muy amable",destacable buena ubicacion limpio personal amable
"En el otro lado de la balanza, es bastante viejito, pequeñito, y con pocas commodities",lado balanza bastante viejito pequenito pocas commodities
"Al final, valorando el precio y la ubicación, no es mala opción para pasar u os días por Granada",final valorando precio ubicacion no mala opcion pasar u dias granada
Anacapri,anacapri
Un hotel bien situado cerca de la calle Elvira y a poca distancia de todo,bien situado cerca calle elvira poca distancia
"Desde el hotel es fácil moverse por Granada, disfrutar de las tapas de la ciudad y de sus bares",facil moverse granada disfrutar tapas ciudad bares
El hotel tranquilo y con habitaciones cuidadas,tranquilo habitaciones cuidadas
"El personal fue muy amable y resaltar la persona que esta en el turno de noche ""Antonio"" que es una persona entrañable y agradable, que sin duda siempre mostrara su mejor sonrisa para intentar ayudar a quien le necesite",personal amable resaltar persona turno noche antonio persona entranable agradable sin duda siempre mostrara mejor sonrisa intentar ayudar necesite
Un sitio recomendado sin lugar a dudas:),sitio recomendado sin lugar dudas
La mejor situación en el centro de Granada ,mejor situacion centro granada
Situación immejorable,situacion immejorable
A un minuto a pie del bus que te lleva al aeropuerto,minuto pie bus lleva aeropuerto
"A un minuto de la Catedral y de las línias de bus, que utilizaras para desplazarte por Granada",minuto catedral linias bus utilizaras desplazarte granada
"Cuentas con una cantidad enorme de bares de tapeo de gran calidad, a pocs metres de l'hotel",cuentas cantidad enorme bares tapeo gran calidad pocs metres l
Recepción servicial y desayuno suficiente ,recepcion servicial desayuno suficiente
"El único defecto,  la red wifi de la habitación ( falla 9 de cada 10 veces)  No dudo en recomendar el hotel",unico defecto red wifi habitacion falla 9 cada 10 veces no dudo recomendar
Volveré sin dudar,volvere sin dudar
UBICACIÓN INMEJORABLE,ubicacion inmejorable
"Un hotel con encanto, está situado en un lugar muy céntrico",encanto situado lugar centrico
Personal muy amable y servicial,personal amable servicial
"Las habitaciones son un poco pequeñas, pero suficientes para pasar un fin de samana o una noche de paso",habitaciones pequenas suficientes pasar fin samana noche paso
Aconsejable su visita,aconsejable visita
Hotel muy sencillo en inmejorable ubicación ,sencillo inmejorable ubicacion
Mi pareja y yo nos alojamos dos noches en este hotel,pareja alojamos dos noches
La habitación (en el tercer piso) era muy pequeña y sencilla pero correctamente limpia y la cama cómoda,habitacion tercer piso pequena sencilla correctamente limpia cama comoda
Suficiente para descansar,suficiente descansar
"El baño también muy pequeño pero con bañera, para poder usar el lavabo tenias que cerrar la puerta porque choca con éste al tenerla abierta",bano pequeno banera poder usar lavabo cerrar puerta choca tenerla abierta
"La habitación tenía un pequeño balcón y al abrirlo se escuchaba jaleo y ruido porque justo debajo hay una terraza de una heladería que se llena por las tardes y por las noches, lo cual no nos importó porque es normal dada la buena ubicación del hotel",habitacion pequeno balcon abrirlo escuchaba jaleo ruido justo debajo terraza heladeria llena tardes noches no importo normal dada buena ubicacion
Por la noche para dormir poníamos el aire acondicionado y cerrábamos la puerta del balcón,noche dormir poniamos aire acondicionado cerrabamos puerta balcon
El trato del personal fue correcto y amable aunque me faltó un poco de información turística de los lugares de interés…,trato personal correcto amable aunque falto informacion turistica lugares interes
Suite con vistas a la Alhambra en edificio histórico ,suite vistas alhambra edificio historico
Este precioso hotel está situado a 2 minutos de la Plaza Nueva a 5 minutos de la parada del bus del aeropuerto,precioso situado 2 minutos plaza nueva 5 minutos parada bus aeropuerto
"A 10 minutos del mirador de San Nicolas, a 5 minutos del Paseo de los tristes",10 minutos mirador san nicolas 5 minutos paseo tristes
"es decir que es ideal para tu estancia si quieres moverte a pie como era nuestro caso Reservamos una de las suites con vistas a la Alhambra, valen la pena! Todo el personal fue encantador y nos ayudaron en todo momento con una sonrisa",decir ideal estancia quieres moverte pie caso reservamos suites vistas alhambra valen pena personal encantador ayudaron momento sonrisa
El desayuno buffet no es muy amplio en variedad pero si es de calidad,desayuno buffet no amplio variedad calidad
Tuvimos una estancia genial,estancia genial
Hotel perfecto para visitar Granada,perfecto visitar granada
"El hotel esta construido en un antiguo palacio muy bien decorado, el edificio en sí es muy bonito, ubicado a 15 minutos andando de la Alhambra y en pleno casco antiguo, todo esta muy cerca",construido antiguo palacio bien decorado edificio bonito ubicado 15 minutos andando alhambra pleno casco antiguo cerca
"Desayuno muy bueno con gran variedad, pero se puede mejorar",desayuno bueno gran variedad puede mejorar
Las habitaciones muy amplias y muy bien distribuidas con camas amplias y cómodas,habitaciones amplias bien distribuidas camas amplias comodas
"La única pega es que se escucha mucho el ruido de las tuberías del agua de otras habitaciones, pero es un pequeño detalle que no quita que volvamos a repetir seguro en este mismo hotel",unica pega escucha ruido tuberias agua habitaciones pequeno detalle no quita volvamos repetir seguro mismo
El personal muy amable,personal amable
"Un dato a tener en cuenta es que no se puede aparcar por esa zona y no se recomienda tampoco circular en coche, es zona Patrimonio de la Unesco y hay cámaras que graban las matriculas de los coches y suelen multar, solo pueden circular los…",dato tener cuenta no puede aparcar zona no recomienda tampoco circular coche zona patrimonio unesco camaras graban matriculas coches suelen multar solo pueden circular
Mejorable,mejorable
Es un buen sitio de alojamiento en el bario de Albayzin de Granada : con buenas vistas y muy cerca de todo ,buen sitio alojamiento bario albayzin granada buenas vistas cerca
"Un poco de palacio , un poco de museo , y un poco de hotel",palacio museo
Personal amable y educado,personal amable educado
"Desayuno bueno , lo que le hace falta es servicio de restauración",desayuno bueno hace falta servicio restauracion
No hay ni un bar dentro para descanso despues de visitas a los alrededores,no bar dentro descanso despues visitas alrededores
Por lo demás mi recomendación ,demas recomendacion
Una buena opción ,buena opcion
"El hotel maciá está ubicado en una zona muy tranquila , además de súper bien comunicado con el centro de la ciudad",macia ubicado zona tranquila ademas super bien comunicado centro ciudad
"Las instalaciones están limpias, son correctas",instalaciones limpias correctas
Lo más importante y valioso es el personal del hotel,importante valioso personal
"Siempre atentos, con muy buena predisposición a ayudar en todo",siempre atentos buena predisposicion ayudar
La verdad es que alojarse en este hotel es sin duda una gran opción para visitar la magnífica ciudad de la Alhambra,verdad alojarse sin duda gran opcion visitar magnifica ciudad alhambra
Buenas y cómodas habitaciones ,buenas comodas habitaciones
Un gran hotel a la salida de granada hacia sierre nevada,gran salida granada hacia sierre nevada
Instalaciones muy buenas,instalaciones buenas
"Habitaciones amplias y cómodas, baños my bien",habitaciones amplias comodas banos my bien
Restaurante muy bien,restaurante bien
Desayuno bufete abundante y variado,desayuno bufete abundante variado
"La carta para cenar y comer es algo limitada, pero la atención del Personal suple estas carencias",carta cenar comer limitada atencion personal suple carencias
"Un trato excepcional desde la recepción, restaurante etc",trato excepcional recepcion restaurante etc
"Céntrico, cómodo y tranquilo",centrico comodo tranquilo
"Hotel situado en el centro de Granada, cerca de todas partes, en especial del centro comercial, con parking, pagando, pero con aparcamiento gratuito no muy lejos del mismo",situado centro granada cerca todas partes especial centro comercial parking pagando aparcamiento gratuito no lejos mismo
"Habitaciones cómodas y confortables, personal de limpieza estupendo",habitaciones comodas confortables personal limpieza estupendo
Si algo debo de dar como negativo será que el servicio de bar no funciona por la noche los días que no tienen grupos que vayan a cenar,debo dar negativo servicio bar no funciona noche dias no grupos vayan cenar
Uno de los días nos ocurrió que antes de las nueve de la noche ya estaba cerrado el mismo,dias ocurrio nueve noche cerrado mismo
Buen alojamiento en Granada,buen alojamiento granada
La habitación es amplia y las camas muy cómodas,habitacion amplia camas comodas
En el cuarto de baño falta un poco de mantenimiento ( algún azulejo roto ),cuarto bano falta mantenimiento algun azulejo roto
El desayuno buffet normal,desayuno buffet normal
Lo mejor es la situación en el centro de Granada,mejor situacion centro granada
Buen precio y situacion,buen precio situacion
"El hot está bastante correcto, cogimos una buena oferta con parking,el desayuno buffet cumple las expectativas, el trato es correcto y tiene una piscina modesta pero cumple su función",hot bastante correcto cogimos buena oferta parkingel desayuno buffet cumple expectativas trato correcto piscina modesta cumple funcion
"la habitación está bastante bien, cómoda limpia y buena cama",habitacion bastante bien comoda limpia buena cama
"Bien, pero mejorable",bien mejorable
